txn_id,datetime,from_account,to_account,amount,channel,remark,txn_type,risk_flag
TXN-AML-0001,2026-01-01 12:00:00,ACC001,ACC002,5151.47,WEB,房租,transfer,normal
TXN-AML-0002,2026-01-01 10:00:00,ACC002,ACC003,1863.36,WEB,餐饮,transfer,normal
TXN-AML-0003,2026-01-01 10:00:00,ACC003,ACC004,4764.89,WEB,购物,transfer,normal
TXN-AML-0004,2026-01-01 12:00:00,ACC004,ACC005,1827.24,WEB,餐饮,transfer,normal
TXN-AML-0005,2026-01-01 16:00:00,ACC005,ACC006,5756.55,ATM,转账,transfer,normal
TXN-AML-0006,2026-01-02 20:00:00,ACC006,ACC007,4755.20,WEB,生活费,transfer,normal
TXN-AML-0007,2026-01-02 12:00:00,ACC001,ACC007,3438.65,POS,生活费,transfer,normal
TXN-AML-0008,2026-01-02 10:00:00,ACC002,ACC009,7661.98,POS,水电费,transfer,normal
TXN-AML-0009,2026-01-02 18:00:00,ACC003,ACC011,3101.43,POS,工资,transfer,normal
TXN-AML-0010,2026-01-02 17:00:00,ACC004,ACC012,2189.71,WEB,医疗,transfer,normal
TXN-AML-0011,2026-01-03 17:00:00,ACC005,ACC011,1086.13,ATM,水电费,transfer,normal
TXN-AML-0012,2026-01-03 12:00:00,ACC012,ACC001,2416.11,POS,交通,transfer,normal
TXN-AML-0013,2026-01-03 13:00:00,ACC001,ACC002,5666.12,WEB,转账,transfer,normal
TXN-AML-0014,2026-01-03 15:00:00,ACC002,ACC003,7883.25,APP,水电费,transfer,normal
TXN-AML-0015,2026-01-03 14:00:00,ACC003,ACC004,2295.99,POS,生活费,transfer,normal
TXN-AML-0016,2026-01-04 18:00:00,ACC004,ACC005,2906.64,POS,水电费,transfer,normal
TXN-AML-0017,2026-01-04 16:00:00,ACC005,ACC006,5116.33,APP,生活费,transfer,normal
TXN-AML-0018,2026-01-04 09:00:00,ACC006,ACC007,3097.70,APP,工资,transfer,normal
TXN-AML-0019,2026-01-04 15:00:00,ACC001,ACC007,1909.48,WEB,工资,transfer,normal
TXN-AML-0020,2026-01-04 20:00:00,ACC002,ACC009,2215.15,APP,交通,transfer,normal
TXN-AML-0021,2026-01-05 19:00:00,ACC003,ACC011,2585.96,ATM,学费,transfer,normal
TXN-AML-0022,2026-01-05 12:00:00,ACC004,ACC012,3724.93,POS,生活费,transfer,normal
TXN-AML-0023,2026-01-05 15:00:00,ACC005,ACC011,5985.41,POS,交通,transfer,normal
TXN-AML-0024,2026-01-05 12:00:00,ACC012,ACC001,7192.80,ATM,工资,transfer,normal
TXN-AML-0025,2026-01-05 16:00:00,ACC001,ACC002,7978.87,APP,餐饮,transfer,normal
TXN-AML-0026,2026-01-06 11:00:00,ACC002,ACC003,818.18,WEB,水电费,transfer,normal
TXN-AML-0027,2026-01-06 10:00:00,ACC003,ACC004,5056.82,ATM,交通,transfer,normal
TXN-AML-0028,2026-01-06 13:00:00,ACC004,ACC005,3139.66,ATM,餐饮,transfer,normal
TXN-AML-0029,2026-01-06 19:00:00,ACC005,ACC006,7771.52,WEB,水电费,transfer,normal
TXN-AML-0030,2026-01-06 10:00:00,ACC006,ACC007,7089.83,POS,工资,transfer,normal
TXN-AML-0031,2026-01-07 09:00:00,ACC001,ACC007,2418.65,APP,医疗,transfer,normal
TXN-AML-0032,2026-01-07 11:00:00,ACC002,ACC009,7635.15,POS,餐饮,transfer,normal
TXN-AML-0033,2026-01-07 19:00:00,ACC003,ACC011,4110.69,WEB,房租,transfer,normal
TXN-AML-0034,2026-01-07 14:00:00,ACC004,ACC012,4110.54,APP,生活费,transfer,normal
TXN-AML-0035,2026-01-07 14:00:00,ACC005,ACC011,6123.84,WEB,交通,transfer,normal
TXN-AML-0036,2026-01-08 13:00:00,ACC012,ACC001,3959.99,WEB,工资,transfer,normal
TXN-AML-0037,2026-01-08 10:00:00,ACC001,ACC002,1991.67,APP,交通,transfer,normal
TXN-AML-0038,2026-01-08 17:00:00,ACC002,ACC003,776.66,ATM,水电费,transfer,normal
TXN-AML-0039,2026-01-08 17:00:00,ACC003,ACC004,6150.09,APP,医疗,transfer,normal
TXN-AML-0040,2026-01-08 17:00:00,ACC004,ACC005,1404.50,ATM,转账,transfer,normal
TXN-AML-0041,2026-01-09 15:00:00,ACC005,ACC006,6066.60,APP,房租,transfer,normal
TXN-AML-0042,2026-01-09 17:00:00,ACC006,ACC007,7961.68,POS,医疗,transfer,normal
TXN-AML-0043,2026-01-09 10:00:00,ACC001,ACC007,3666.74,APP,转账,transfer,normal
TXN-AML-0044,2026-01-09 12:00:00,ACC002,ACC009,2770.88,APP,交通,transfer,normal
TXN-AML-0045,2026-01-09 10:00:00,ACC003,ACC011,156.81,WEB,转账,transfer,normal
TXN-AML-0046,2026-01-10 17:00:00,ACC004,ACC012,7252.82,POS,水电费,transfer,normal
TXN-AML-0047,2026-01-10 17:00:00,ACC005,ACC011,1980.24,ATM,转账,transfer,normal
TXN-AML-0048,2026-01-10 16:00:00,ACC012,ACC001,1145.26,ATM,转账,transfer,normal
TXN-AML-0049,2026-01-10 10:00:00,ACC001,ACC002,6479.23,APP,水电费,transfer,normal
TXN-AML-0050,2026-01-10 15:00:00,ACC002,ACC003,5305.96,POS,学费,transfer,normal
TXN-AML-0051,2026-01-11 09:00:00,ACC003,ACC004,3789.49,WEB,水电费,transfer,normal
TXN-AML-0052,2026-01-11 12:00:00,ACC004,ACC005,3280.71,POS,水电费,transfer,normal
TXN-AML-0053,2026-01-11 15:00:00,ACC005,ACC006,1613.56,ATM,生活费,transfer,normal
TXN-AML-0054,2026-01-11 10:00:00,ACC006,ACC007,1549.56,ATM,转账,transfer,normal
TXN-AML-0055,2026-01-11 19:00:00,ACC001,ACC007,3600.73,WEB,购物,transfer,normal
TXN-AML-0056,2026-01-12 12:00:00,ACC002,ACC009,7994.33,WEB,水电费,transfer,normal
TXN-AML-0057,2026-01-12 12:00:00,ACC003,ACC011,1413.86,ATM,医疗,transfer,normal
TXN-AML-0058,2026-01-12 15:00:00,ACC004,ACC012,6930.74,WEB,生活费,transfer,normal
TXN-AML-0059,2026-01-12 16:00:00,ACC005,ACC011,117.03,ATM,房租,transfer,normal
TXN-AML-0060,2026-01-12 12:00:00,ACC012,ACC001,2353.47,ATM,生活费,transfer,normal
TXN-AML-0061,2026-01-06 10:00:00,ACC007,ACC003,580000.00,API,货款结算,transfer,large_normal
TXN-AML-0062,2026-01-09 10:00:00,ACC003,ACC007,320000.00,API,采购付款,transfer,large_normal
TXN-AML-0063,2026-01-12 10:00:00,ACC009,ACC003,210000.00,COUNTER,合同款,transfer,large_normal
TXN-AML-0064,2026-01-15 10:00:00,ACC007,ACC009,440000.00,API,服务费,transfer,large_normal
TXN-AML-0065,2026-01-18 10:00:00,ACC003,ACC006,180000.00,WEB,房产定金,transfer,large_normal
TXN-AML-0066,2026-01-21 10:00:00,ACC006,ACC003,95000.00,APP,押金退还,transfer,large_normal
TXN-AML-0067,2026-01-24 10:00:00,ACC001,ACC003,120000.00,WEB,投资款,transfer,large_normal
TXN-AML-0068,2026-01-27 10:00:00,ACC007,ACC001,88000.00,API,分红,transfer,large_normal
TXN-AML-0069,2026-01-31 08:03:00,ACC008,ACC001,9618.68,APP,报销款,transfer,structuring
TXN-AML-0070,2026-01-31 09:34:00,ACC008,ACC002,9731.67,APP,报销款,transfer,structuring
TXN-AML-0071,2026-01-31 10:20:00,ACC008,ACC004,9524.38,APP,报销款,transfer,structuring
TXN-AML-0072,2026-01-31 11:37:00,ACC008,ACC005,9522.87,APP,报销款,transfer,structuring
TXN-AML-0073,2026-01-31 12:33:00,ACC008,ACC011,9690.72,APP,报销款,transfer,structuring
TXN-AML-0074,2026-01-31 13:32:00,ACC008,ACC012,9562.97,APP,报销款,transfer,structuring
TXN-AML-0075,2026-02-15 10:00:00,ACC010,ACC003,45360.50,COUNTER,货款,cash_deposit,structuring
TXN-AML-0076,2026-02-16 10:00:00,ACC010,ACC003,45836.21,COUNTER,货款,cash_deposit,structuring
TXN-AML-0077,2026-02-17 10:00:00,ACC010,ACC003,47677.66,COUNTER,货款,cash_deposit,structuring
TXN-AML-0078,2026-02-18 10:00:00,ACC010,ACC003,48038.46,COUNTER,货款,cash_deposit,structuring
TXN-AML-0079,2026-02-19 10:00:00,ACC010,ACC003,46058.42,COUNTER,货款,cash_deposit,structuring
TXN-AML-0080,2026-02-20 10:00:00,ACC010,ACC003,45539.49,COUNTER,货款,cash_deposit,structuring
TXN-AML-0081,2026-03-02 02:00:00,ACC010,ACC008,350000.00,API,分层第1层,transfer,layering
TXN-AML-0082,2026-03-03 03:00:00,ACC008,ACC009,340000.00,API,分层第2层,transfer,layering
TXN-AML-0083,2026-03-04 04:00:00,ACC009,ACC003,330000.00,COUNTER,分层第3层,transfer,layering
TXN-AML-0084,2026-03-05 05:00:00,ACC003,ACC007,320000.00,WEB,分层第4层,transfer,layering
TXN-AML-0085,2026-03-06 06:00:00,ACC010,ACC006,280000.00,API,分层链路2-第1层,transfer,layering
TXN-AML-0086,2026-03-07 07:00:00,ACC006,ACC009,270000.00,APP,分层链路2-第2层,transfer,layering
TXN-AML-0087,2026-03-08 02:00:00,ACC009,ACC008,260000.00,API,分层链路2-第3层,transfer,layering
TXN-AML-0088,2026-03-09 03:00:00,ACC008,ACC001,250000.00,WEB,分层链路2-第4层,transfer,layering
TXN-AML-0089,2026-03-12 22:00:00,ACC004,ACC008,85000.00,WEB,无说明,transfer,suspicious
TXN-AML-0090,2026-03-14 02:00:00,ACC004,ACC010,120000.00,APP,无说明,transfer,suspicious
TXN-AML-0091,2026-03-17 22:00:00,ACC010,ACC001,95000.00,API,急用,transfer,suspicious
TXN-AML-0092,2026-03-17 22:00:00,ACC010,ACC002,78000.00,API,急用,transfer,suspicious
TXN-AML-0093,2026-03-22 01:00:00,ACC008,ACC010,500000.00,API,海外投资,transfer,suspicious
TXN-AML-0094,2026-03-24 22:00:00,ACC010,ACC008,480000.00,API,返还,transfer,suspicious
TXN-AML-0095,2026-03-25 01:00:00,ACC008,ACC010,460000.00,API,再投资,transfer,suspicious
TXN-AML-0096,2026-03-27 23:00:00,ACC003,ACC009,75000.00,WEB,往来款,transfer,suspicious
TXN-AML-0097,2026-03-28 22:00:00,ACC009,ACC003,73000.00,WEB,回款,transfer,suspicious
TXN-AML-0098,2026-03-29 22:00:00,ACC003,ACC009,71000.00,WEB,往来款,transfer,suspicious
TXN-AML-0099,2026-04-01 22:00:00,ACC008,ACC002,62000.00,APP,无说明,transfer,suspicious
TXN-AML-0100,2026-04-02 03:00:00,ACC008,ACC004,58000.00,APP,无说明,transfer,suspicious
TXN-AML-0101,2026-04-03 03:00:00,ACC008,ACC005,55000.00,APP,无说明,transfer,suspicious
TXN-AML-0102,2026-04-06 02:00:00,ACC010,ACC011,48000.00,API,货款,transfer,suspicious
TXN-AML-0103,2026-04-07 03:00:00,ACC010,ACC012,47000.00,API,货款,transfer,suspicious
TXN-AML-0104,2026-04-11 02:00:00,ACC002,ACC008,200000.00,WEB,借款,transfer,suspicious
TXN-AML-0105,2026-04-12 03:00:00,ACC004,ACC008,150000.00,WEB,投资,transfer,suspicious
TXN-AML-0106,2026-04-16 23:00:00,ACC008,CASH_OUT,80000.00,ATM,提现,cash_withdraw,suspicious
TXN-AML-0107,2026-04-17 02:00:00,ACC010,CASH_OUT,75000.00,ATM,提现,cash_withdraw,suspicious
TXN-AML-0108,2026-04-18 03:00:00,ACC008,CASH_OUT,65000.00,ATM,提现,cash_withdraw,suspicious
TXN-AML-0109,2026-04-19 23:00:00,ACC010,CASH_OUT,60000.00,ATM,提现,cash_withdraw,suspicious
